Au %,Core Radius,Core Std Dev,Shell Radius,Shell Std Dev,Tot. Rad,Tot. Err
2.8,1.207,0.055,8.046,0.364,9.253,0.36813177
7.9,1.207,0.057,8.049,0.381,9.255,0.385240185
13.1,1.51,0.049,7.896,0.217,9.406,0.22246348
15.5,2.432,0.092,7.028,0.289,9.46,0.30329029
20.6,3.137,0.177,6.396,0.321,9.532,0.366565137
24.6,3.861,0.168,5.77,0.385,9.631,0.420058329
29.4,4.167,0.208,5.739,0.477,9.906,0.520377747
35.7,4.631,0.358,5.6,0.594,10.231,0.693541635
39.4,4.883,0.254,5.493,0.539,10.376,0.595849813
45.4,4.94,0.384,5.522,0.624,10.463,0.732688201
53.8,5.04,0.254,5.213,0.518,10.254,0.576922872
59.7,4.969,0.253,5.001,0.51,9.97,0.569305718
69.5,5.075,0.231,4.675,0.438,9.75,0.495181785
75.1,5.019,0.252,4.577,0.489,9.596,0.550113625